"img1","img2","similarity"
"beach9.jpg","beach22.jpg",0
"beach9.jpg","beach12.jpg",0
"beach9.jpg","beach1.jpg",1
"beach9.jpg","beach0.jpg",0
"beach9.jpg","beach14.jpg",1
"beach9.jpg","beach21.jpg",1
"beach9.jpg","beach23.jpg",NA
"beach9.jpg","beach16.jpg",0
"beach9.jpg","beach10.jpg",0.333333333333333
"beach18.jpg","beach3.jpg",0
"beach18.jpg","beach2.jpg",0.75
"beach18.jpg","beach13.jpg",1
"beach18.jpg","beach20.jpg",0.75
"beach18.jpg","beach5.jpg",NA
"beach18.jpg","beach7.jpg",0
"beach18.jpg","beach8.jpg",0
"beach18.jpg","beach4.jpg",0
"beach18.jpg","beach11.jpg",0
"beach18.jpg","beach6.jpg",1
"beach18.jpg","beach9.jpg",0
"beach18.jpg","beach19.jpg",0
"beach18.jpg","beach17.jpg",0.5
"beach18.jpg","beach15.jpg",0
"beach18.jpg","beach22.jpg",0
"beach18.jpg","beach12.jpg",0
"beach18.jpg","beach1.jpg",0
"beach18.jpg","beach0.jpg",0
"beach18.jpg","beach14.jpg",0
"beach18.jpg","beach21.jpg",0
"beach18.jpg","beach23.jpg",0
"beach18.jpg","beach16.jpg",0
"beach18.jpg","beach10.jpg",NA
"beach19.jpg","beach3.jpg",1
"beach19.jpg","beach2.jpg",0
"beach19.jpg","beach13.jpg",1
"beach19.jpg","beach20.jpg",1
"beach19.jpg","beach5.jpg",0
"beach19.jpg","beach7.jpg",1
"beach19.jpg","beach8.jpg",0.25
"beach19.jpg","beach4.jpg",1
"beach19.jpg","beach11.jpg",0
"beach19.jpg","beach6.jpg",0.75
"beach19.jpg","beach9.jpg",0
"beach19.jpg","beach18.jpg",0
"beach19.jpg","beach17.jpg",0
"beach19.jpg","beach15.jpg",0
"beach19.jpg","beach22.jpg",0.5
"beach19.jpg","beach12.jpg",0
"beach19.jpg","beach1.jpg",0
"beach19.jpg","beach0.jpg",0.75
"beach19.jpg","beach14.jpg",0
"beach19.jpg","beach21.jpg",0.25
"beach19.jpg","beach23.jpg",0
"beach19.jpg","beach16.jpg",NA
"beach19.jpg","beach10.jpg",0.25
"beach17.jpg","beach3.jpg",0
"beach17.jpg","beach2.jpg",0
"beach17.jpg","beach13.jpg",0.285714285714286
"beach17.jpg","beach20.jpg",0
"beach17.jpg","beach5.jpg",0
"beach17.jpg","beach7.jpg",0.333333333333333
"beach17.jpg","beach8.jpg",0
"beach17.jpg","beach4.jpg",0
"beach17.jpg","beach11.jpg",0
"beach17.jpg","beach6.jpg",0
"beach17.jpg","beach9.jpg",1
"beach17.jpg","beach18.jpg",0.5
"beach17.jpg","beach19.jpg",0
"beach17.jpg","beach15.jpg",1
"beach17.jpg","beach22.jpg",0.333333333333333
"beach17.jpg","beach12.jpg",0.333333333333333
"beach17.jpg","beach1.jpg",0.5
"beach17.jpg","beach0.jpg",0
"beach17.jpg","beach14.jpg",0.666666666666667
"beach17.jpg","beach21.jpg",0.333333333333333
"beach17.jpg","beach23.jpg",0
"beach17.jpg","beach16.jpg",0.2
"beach17.jpg","beach10.jpg",1
"beach15.jpg","beach3.jpg",0
"beach15.jpg","beach2.jpg",NA
"beach15.jpg","beach13.jpg",0
"beach15.jpg","beach20.jpg",0
"beach15.jpg","beach5.jpg",0
"beach15.jpg","beach7.jpg",0
"beach15.jpg","beach8.jpg",NA
"beach15.jpg","beach4.jpg",0
"beach15.jpg","beach11.jpg",0.5
"beach15.jpg","beach6.jpg",0
"beach15.jpg","beach9.jpg",0.166666666666667
"beach15.jpg","beach18.jpg",0
"beach15.jpg","beach19.jpg",0
"beach15.jpg","beach17.jpg",1
"beach15.jpg","beach22.jpg",0.5
"beach15.jpg","beach12.jpg",0
"beach15.jpg","beach1.jpg",0
"beach15.jpg","beach0.jpg",0
"beach15.jpg","beach14.jpg",0
"beach15.jpg","beach21.jpg",0
"beach15.jpg","beach23.jpg",0
"beach15.jpg","beach16.jpg",1
"beach15.jpg","beach10.jpg",0
"beach22.jpg","beach3.jpg",0
"beach22.jpg","beach2.jpg",NA
"beach22.jpg","beach13.jpg",0.333333333333333
"beach22.jpg","beach20.jpg",0
"beach22.jpg","beach5.jpg",1
"beach22.jpg","beach7.jpg",0.333333333333333
"beach22.jpg","beach8.jpg",0.5
"beach22.jpg","beach4.jpg",1
"beach22.jpg","beach11.jpg",0.666666666666667
"beach22.jpg","beach6.jpg",0.666666666666667
"beach22.jpg","beach9.jpg",0
"beach22.jpg","beach18.jpg",0
"beach22.jpg","beach19.jpg",0.5
"beach22.jpg","beach17.jpg",0.333333333333333
"beach22.jpg","beach15.jpg",0.5
"beach22.jpg","beach12.jpg",0
"beach22.jpg","beach1.jpg",1
"beach22.jpg","beach0.jpg",1
"beach22.jpg","beach14.jpg",0
"beach22.jpg","beach21.jpg",NA
"beach22.jpg","beach23.jpg",0
"beach22.jpg","beach16.jpg",0
"beach22.jpg","beach10.jpg",0
"beach12.jpg","beach3.jpg",0.333333333333333
"beach12.jpg","beach2.jpg",0.5
"beach12.jpg","beach13.jpg",0.666666666666667
"beach12.jpg","beach20.jpg",0.5
"beach12.jpg","beach5.jpg",0.5
"beach12.jpg","beach7.jpg",0.666666666666667
"beach12.jpg","beach8.jpg",0.666666666666667
"beach12.jpg","beach4.jpg",1
"beach12.jpg","beach11.jpg",0
"beach12.jpg","beach6.jpg",0.333333333333333
"beach12.jpg","beach9.jpg",0
"beach12.jpg","beach18.jpg",0
"beach12.jpg","beach19.jpg",0
"beach12.jpg","beach17.jpg",0.333333333333333
"beach12.jpg","beach15.jpg",0
"beach12.jpg","beach22.jpg",0
"beach12.jpg","beach1.jpg",NA
"beach12.jpg","beach0.jpg",NA
"beach12.jpg","beach14.jpg",0.333333333333333
"beach12.jpg","beach21.jpg",0.5
"beach12.jpg","beach23.jpg",0
"beach12.jpg","beach16.jpg",NA
"beach12.jpg","beach10.jpg",1
"beach1.jpg","beach3.jpg",0.5
"beach1.jpg","beach2.jpg",NA
"beach1.jpg","beach13.jpg",0
"beach1.jpg","beach20.jpg",0
"beach1.jpg","beach5.jpg",NA
"beach1.jpg","beach7.jpg",0.5
"beach1.jpg","beach8.jpg",1
"beach1.jpg","beach4.jpg",0
"beach1.jpg","beach11.jpg",1
"beach1.jpg","beach6.jpg",0.333333333333333
"beach1.jpg","beach9.jpg",1
"beach1.jpg","beach18.jpg",0
"beach1.jpg","beach19.jpg",0
"beach1.jpg","beach17.jpg",0.5
"beach1.jpg","beach15.jpg",0
"beach1.jpg","beach22.jpg",1
"beach1.jpg","beach12.jpg",NA
"beach1.jpg","beach0.jpg",0.5
"beach1.jpg","beach14.jpg",1
"beach1.jpg","beach21.jpg",0.333333333333333
"beach1.jpg","beach23.jpg",0
"beach1.jpg","beach16.jpg",0.5
"beach1.jpg","beach10.jpg",NA
"beach0.jpg","beach3.jpg",0
"beach0.jpg","beach2.jpg",0
"beach0.jpg","beach13.jpg",0
"beach0.jpg","beach20.jpg",0
"beach0.jpg","beach5.jpg",0
"beach0.jpg","beach7.jpg",NA
"beach0.jpg","beach8.jpg",0
"beach0.jpg","beach4.jpg",1
"beach0.jpg","beach11.jpg",0.333333333333333
"beach0.jpg","beach6.jpg",1
"beach0.jpg","beach9.jpg",0
"beach0.jpg","beach18.jpg",0
"beach0.jpg","beach19.jpg",0.75
"beach0.jpg","beach17.jpg",0
"beach0.jpg","beach15.jpg",0
"beach0.jpg","beach22.jpg",1
"beach0.jpg","beach12.jpg",NA
"beach0.jpg","beach1.jpg",0.5
"beach0.jpg","beach14.jpg",0
"beach0.jpg","beach21.jpg",0
"beach0.jpg","beach23.jpg",0
